Name,Date,Value
Total gross value added,1995-03,
Total gross value added,1995-06,99.9
Total gross value added,1995-09,96.2
Total gross value added,1995-12,92.6
Total gross value added,1996-03,115.6
Total gross value added,1996-06,98.5
Total gross value added,1996-09,97.8
Total gross value added,1996-12,96.4
Total gross value added,1997-03,100.8
Total gross value added,1997-06,95.2
Total gross value added,1997-09,101.5
Total gross value added,1997-12,99.5
Total gross value added,1998-03,91.9
Total gross value added,1998-06,102
Total gross value added,1998-09,104.3
Total gross value added,1998-12,100.4
Total gross value added,1999-03,100.1
Total gross value added,1999-06,98.3
Total gross value added,1999-09,99
Total gross value added,1999-12,97.8
Total gross value added,2000-03,104.2
Total gross value added,2000-06,100.6
Total gross value added,2000-09,99.2
Total gross value added,2000-12,104.9
Total gross value added,2001-03,100.7
Total gross value added,2001-06,100.3
Total gross value added,2001-09,101.9
Total gross value added,2001-12,101.6
Total gross value added,2002-03,102.1
Total gross value added,2002-06,102.4
Total gross value added,2002-09,97.8
Total gross value added,2002-12,100.2
Total gross value added,2003-03,100.7
Total gross value added,2003-06,103.2
Total gross value added,2003-09,99.5
Total gross value added,2003-12,99.2
Total gross value added,2004-03,105.5
Total gross value added,2004-06,102.4
Total gross value added,2004-09,105
Total gross value added,2004-12,102.2
Total gross value added,2005-03,97.1
Total gross value added,2005-06,101.3
Total gross value added,2005-09,101.4
Total gross value added,2005-12,102.6
Total gross value added,2006-03,102.1
Total gross value added,2006-06,102.3
Total gross value added,2006-09,102
Total gross value added,2006-12,101.9
Total gross value added,2007-03,101.8
Total gross value added,2007-06,100.9
Total gross value added,2007-09,100.3
Total gross value added,2007-12,105.1
Total gross value added,2008-03,100.8
Total gross value added,2008-06,103.6
Total gross value added,2008-09,102.3
Total gross value added,2008-12,101.5
Total gross value added,2009-03,88.3
Total gross value added,2009-06,102.6
Total gross value added,2009-09,103.9
Total gross value added,2009-12,103.4
Total gross value added,2010-03,90.8
Total gross value added,2010-06,101.3
Total gross value added,2010-09,94.6
Total gross value added,2010-12,104.5
Total gross value added,2011-03,102.6
Total gross value added,2011-06,102
Total gross value added,2011-09,99.9
Total gross value added,2011-12,97.5
Total gross value added,2012-03,104.7
Total gross value added,2012-06,100.5
Total gross value added,2012-09,97.8
Total gross value added,2012-12,98.7
Total gross value added,2013-03,100.3
Total gross value added,2013-06,101.5
Total gross value added,2013-09,101.8
Total gross value added,2013-12,100.4
Total gross value added,2014-03,100.9
Total gross value added,2014-06,99.8
Total gross value added,2014-09,103.2
Total gross value added,2014-12,100.6
Total gross value added,2015-03,99.7
Total gross value added,2015-06,101.6
Total gross value added,2015-09,99.4
Total gross value added,2015-12,100.6
Total gross value added,2016-03,101.6
Total gross value added,2016-06,100.5
Total gross value added,2016-09,101
Total gross value added,2016-12,99.5
Total gross value added,2017-03,105.3
Total gross value added,2017-06,102.4
Total gross value added,2017-09,101.9
Total gross value added,2017-12,99.9
Total gross value added,2018-03,101.4
Total gross value added,2018-06,102.5
Total gross value added,2018-09,102.1
Total gross value added,2018-12,99.8
Total gross value added,2019-03,99.7
Total gross value added,2019-06,102.7
Total gross value added,2019-09,100.1
Total gross value added,2019-12,102.1
Total gross value added,2020-03,97.4
Total gross value added,2020-06,92.1
Total gross value added,2020-09,103.8
Total gross value added,2020-12,104.4
Total gross value added,2021-03,102
Total gross value added,2021-06,100
Total gross value added,2021-09,100.3
Total gross value added,2021-12,99.6
Total gross value added,2022-03,102.4
Total gross value added,2022-06,100.6
Total gross value added,2022-09,100.2
Total gross value added,2022-12,101.2
Total gross value added,2023-03,98.8
Total gross value added,2023-06,102.2
Total gross value added,2023-09,101.6
Total gross value added,2023-12,99.4
Total gross value added,2024-03,99.4
Total gross value added,2024-06,100.9
Total gross value added,2024-09,98.1
Total gross value added,2024-12,100.3
Total gross value added,2025-03,
Total gross value added,2025-06,
Total gross value added,2025-09,
Total gross value added,2025-12,
Total gross value added,2026-03,
Total gross value added,2026-06,
Total gross value added,2026-09,
Total gross value added,2026-12,
Agriculture; forestry and fishing,1995-03,
Agriculture; forestry and fishing,1995-06,105.3
Agriculture; forestry and fishing,1995-09,85.8
Agriculture; forestry and fishing,1995-12,87.5
Agriculture; forestry and fishing,1996-03,135.4
Agriculture; forestry and fishing,1996-06,79.5
Agriculture; forestry and fishing,1996-09,101.4
Agriculture; forestry and fishing,1996-12,98.9
Agriculture; forestry and fishing,1997-03,112.7
Agriculture; forestry and fishing,1997-06,92
Agriculture; forestry and fishing,1997-09,94
Agriculture; forestry and fishing,1997-12,115.1
Agriculture; forestry and fishing,1998-03,75.2
Agriculture; forestry and fishing,1998-06,104.5
Agriculture; forestry and fishing,1998-09,117.2
Agriculture; forestry and fishing,1998-12,98.2
Agriculture; forestry and fishing,1999-03,90.4
Agriculture; forestry and fishing,1999-06,101.2
Agriculture; forestry and fishing,1999-09,108.1
Agriculture; forestry and fishing,1999-12,100.2
Agriculture; forestry and fishing,2000-03,92.1
Agriculture; forestry and fishing,2000-06,90.4
Agriculture; forestry and fishing,2000-09,84.2
Agriculture; forestry and fishing,2000-12,103
Agriculture; forestry and fishing,2001-03,118.5
Agriculture; forestry and fishing,2001-06,116.7
Agriculture; forestry and fishing,2001-09,112.6
Agriculture; forestry and fishing,2001-12,97.5
Agriculture; forestry and fishing,2002-03,82.8
Agriculture; forestry and fishing,2002-06,112.1
Agriculture; forestry and fishing,2002-09,93.2
Agriculture; forestry and fishing,2002-12,101.9
Agriculture; forestry and fishing,2003-03,95.6
Agriculture; forestry and fishing,2003-06,114.8
Agriculture; forestry and fishing,2003-09,95.7
Agriculture; forestry and fishing,2003-12,103
Agriculture; forestry and fishing,2004-03,98.9
Agriculture; forestry and fishing,2004-06,108.7
Agriculture; forestry and fishing,2004-09,115.8
Agriculture; forestry and fishing,2004-12,102.7
Agriculture; forestry and fishing,2005-03,76.8
Agriculture; forestry and fishing,2005-06,96.5
Agriculture; forestry and fishing,2005-09,96.8
Agriculture; forestry and fishing,2005-12,104.2
Agriculture; forestry and fishing,2006-03,114.1
Agriculture; forestry and fishing,2006-06,93.3
Agriculture; forestry and fishing,2006-09,93.9
Agriculture; forestry and fishing,2006-12,90.8
Agriculture; forestry and fishing,2007-03,100.3
Agriculture; forestry and fishing,2007-06,86.2
Agriculture; forestry and fishing,2007-09,81.7
Agriculture; forestry and fishing,2007-12,106.6
Agriculture; forestry and fishing,2008-03,140.4
Agriculture; forestry and fishing,2008-06,89.5
Agriculture; forestry and fishing,2008-09,116.8
Agriculture; forestry and fishing,2008-12,90.6
Agriculture; forestry and fishing,2009-03,91.5
Agriculture; forestry and fishing,2009-06,110.6
Agriculture; forestry and fishing,2009-09,98.8
Agriculture; forestry and fishing,2009-12,109.4
Agriculture; forestry and fishing,2010-03,79.9
Agriculture; forestry and fishing,2010-06,105.4
Agriculture; forestry and fishing,2010-09,89.3
Agriculture; forestry and fishing,2010-12,101.3
Agriculture; forestry and fishing,2011-03,120.1
Agriculture; forestry and fishing,2011-06,102.9
Agriculture; forestry and fishing,2011-09,97.6
Agriculture; forestry and fishing,2011-12,98.3
Agriculture; forestry and fishing,2012-03,81.1
Agriculture; forestry and fishing,2012-06,94.2
Agriculture; forestry and fishing,2012-09,100
Agriculture; forestry and fishing,2012-12,98.4
Agriculture; forestry and fishing,2013-03,128
Agriculture; forestry and fishing,2013-06,110.6
Agriculture; forestry and fishing,2013-09,98.8
Agriculture; forestry and fishing,2013-12,98.8
Agriculture; forestry and fishing,2014-03,98.4
Agriculture; forestry and fishing,2014-06,98.4
Agriculture; forestry and fishing,2014-09,112.7
Agriculture; forestry and fishing,2014-12,114.2
Agriculture; forestry and fishing,2015-03,85.7
Agriculture; forestry and fishing,2015-06,84.3
Agriculture; forestry and fishing,2015-09,94.6
Agriculture; forestry and fishing,2015-12,122.2
Agriculture; forestry and fishing,2016-03,98.1
Agriculture; forestry and fishing,2016-06,108.7
Agriculture; forestry and fishing,2016-09,85.2
Agriculture; forestry and fishing,2016-12,92.3
Agriculture; forestry and fishing,2017-03,122.1
Agriculture; forestry and fishing,2017-06,106.8
Agriculture; forestry and fishing,2017-09,108.8
Agriculture; forestry and fishing,2017-12,81.2
Agriculture; forestry and fishing,2018-03,120.7
Agriculture; forestry and fishing,2018-06,104.4
Agriculture; forestry and fishing,2018-09,103.1
Agriculture; forestry and fishing,2018-12,88.5
Agriculture; forestry and fishing,2019-03,102.2
Agriculture; forestry and fishing,2019-06,110.3
Agriculture; forestry and fishing,2019-09,99.1
Agriculture; forestry and fishing,2019-12,88.6
Agriculture; forestry and fishing,2020-03,104
Agriculture; forestry and fishing,2020-06,84.9
Agriculture; forestry and fishing,2020-09,82.8
Agriculture; forestry and fishing,2020-12,135.3
Agriculture; forestry and fishing,2021-03,108.2
Agriculture; forestry and fishing,2021-06,96.9
Agriculture; forestry and fishing,2021-09,103
Agriculture; forestry and fishing,2021-12,97.2
Agriculture; forestry and fishing,2022-03,92.4
Agriculture; forestry and fishing,2022-06,96.8
Agriculture; forestry and fishing,2022-09,93.6
Agriculture; forestry and fishing,2022-12,99.4
Agriculture; forestry and fishing,2023-03,105.5
Agriculture; forestry and fishing,2023-06,101.4
Agriculture; forestry and fishing,2023-09,128.6
Agriculture; forestry and fishing,2023-12,79.8
Agriculture; forestry and fishing,2024-03,102.9
Agriculture; forestry and fishing,2024-06,97.7
Agriculture; forestry and fishing,2024-09,78.9
Agriculture; forestry and fishing,2024-12,115.9
Agriculture; forestry and fishing,2025-03,
Agriculture; forestry and fishing,2025-06,
Agriculture; forestry and fishing,2025-09,
Agriculture; forestry and fishing,2025-12,
Agriculture; forestry and fishing,2026-03,
Agriculture; forestry and fishing,2026-06,
Agriculture; forestry and fishing,2026-09,
Agriculture; forestry and fishing,2026-12,
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1995-03,
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1995-06,98.7
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1995-09,97.3
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1995-12,97.8
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1996-03,109
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1996-06,97.7
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1996-09,101.2
Minning and Quarrying; manufacturing; electricity; gas; steam and air conditioning production and supply; water supply; sewerage; waste management and decontamination activities,1996-12,102.3
